id,major,minor,model,name,image,image_original,price,blurb,price_fmt,description,catalog_pdfs
191580374,ゲート・仮囲い,パネルゲート,PGN-36,パネルゲート柱付きW3600mm・380kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592182/products/191580374.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580374.jpg,340500,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"340,500",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-36.pdf""}]"
191580376,ゲート・仮囲い,パネルゲート,PGN-45,パネルゲート柱付きW4500mm・420kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592183/products/191580376.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580376.jpg,385000,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"385,000",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-45.pdf""}]"
191580377,ゲート・仮囲い,パネルゲート,PGN-54,パネルゲート柱付きW5400mm・460kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592184/products/191580377.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580377.jpg,430000,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"430,000",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-54.pdf""}]"
191580378,ゲート・仮囲い,パネルゲート,PGN-63,パネルゲート柱付きW6300mm・520kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592185/products/191580378.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580378.jpg,482000,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"482,000",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-63.pdf""}]"
191580379,ゲート・仮囲い,パネルゲート,PGN-72,パネルゲート柱付きW7200mm・570kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592186/products/191580379.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580379.jpg,526000,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"526,000",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-72.pdf""}]"
191580380,ゲート・仮囲い,パネルゲート,PGN-81,パネルゲート柱付きW8100mm・610kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592187/products/191580380.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580380.jpg,577000,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"577,000",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-81.pdf""}]"
191580381,ゲート・仮囲い,パネルゲート,PGN-90,パネルゲート柱付きW9000mm・650kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592188/products/191580381.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580381.jpg,632500,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"632,500",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-90.pdf""}]"
191580382,ゲート・仮囲い,パネルゲート,PGN-99,パネルゲート柱付きW9900mm・720kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592189/products/191580382.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580382.jpg,723900,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"723,900",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-99.pdf""}]"
191580383,ゲート・仮囲い,パネルゲート,PGN-108,パネルゲート柱付きW10800mm・790kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592191/products/191580383.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580383.jpg,829700,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"829,700",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-108.pdf""}]"
191580384,ゲート・仮囲い,パネルゲート,PGN-117,パネルゲート柱付きW11700mm・860kg,https://res.cloudinary.com/jfnzoigm/image/upload/v1788592192/products/191580384.jpg,https://img21.shop-pro.jp/PA01522/292/product/191580384.jpg,924700,強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"924,700",強度・耐久性が高く、長期間工事に最適な柱付きタイプのパネルゲート。,"[{""label"": ""資料"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatehashira_toriatsukai.pdf""}, {""label"": ""品番の図面"", ""url"": ""https://file003.shop-pro.jp/PA01522/292/catalogue/panelgatePGN-117.pdf""}]"
